username,name,location,company,total_contributions,latitude,longitude
malvikasharan,Malvika Sharan,Unknown,The Turing Way - The Alan Turing Institute,3624,,
allcontributors[bot],,Unknown,,1674,,
JimMadge,Jim Madge,Unknown,@alan-turing-institute ,1030,,
EstherPlomp,Esther Plomp,Aruba,,1021,12.5013629,-69.9618475
r-j-arnold,Becky Arnold,Unknown,,912,,
sgibson91,Sarah Gibson,UK,,902,54.7023545,-3.2765753
EKaroune,Emma Karoune,Unknown,The Alan Turing Institute,676,,
aleesteele,Anne Lee Steele,"London, UK",@alan-turing-institute ,654,51.5074456,-0.1277653
KirstieJane,Kirstie Whitaker,"Berkeley, CA",@bids @the-turing-way ,578,37.8708393,-122.272863
da5nsy,Danny Garside,"London, UK",,549,51.5074456,-0.1277653
paulowoicho,Paul Owoicho,United Kingdom,,395,54.7023545,-3.2765753
BrainonSilicon,Sophia Batchelor,"London, UK",@alan-turing-institute ,370,51.5074456,-0.1277653
RichardJActon,Richard James Acton,Unknown,@HDBI,361,,
rainsworth,Dr. Rachael Ainsworth,"Manchester, UK",@upside-energy,227,53.4794892,-2.2451148
pherterich,Patricia Herterich,"Edinburgh, UK",,204,55.9533456,-3.1883749
BatoolMM,Batool Almarzouq,"Liverpool, UK","University of Liverpool, Alan Turing Institute",194,53.3933411,-2.9166389
vhellon,Vicky Hellon,Unknown,The Alan Turing Institute,174,,
Arielle-Bennett,,Unknown,,158,,
aldenc,Alden Conner,Unknown,,141,,
jcolomb,Julien Colomb,berlin,,140,52.5173885,13.3951309
AlexandraAAJ,Alexandra Araujo Alvarez,United Kingdom,The Alan Turing Institute,125,54.7023545,-3.2765753
bsipocz,Brigitta Sipőcz,"Seattle, WA",Caltech/IPAC,118,47.6038321,-122.330062
rosiehigman,RosieHigman,Unknown,,116,,
martinagvilas,Martina G. Vilas,"Frankfurt am Main, Germany",Goethe University Frankfurt,104,50.1106444,8.6820917
f-rower,,Unknown,,102,,
Karvovskaya,Lena Karvovskaya,Unknown,,77,,
SaranjeetKaur,Saranjeet Kaur,London,,68,51.5074456,-0.1277653
LouiseABowler,Louise Bowler,Unknown,King's College London,64,,
denisebianco,Denise Bianco,Unknown,,57,,
arronlacey,Arron Lacey,Swansea UK,,55,51.6195955,-3.9459248
acocac,Alejandro ©,London,The Alan Turing Institute,47,51.5074456,-0.1277653
RealRichi3,Richie,Unknown,,45,,
Zeena-Shawa,Zeena Shawa,Unknown,University College London,44,,
aframosp,Andrés Ramos,Unknown,RIVM,43,,
masonlr,Lachlan Mason,"Melbourne, London",Quaisr,41,51.5974717,-0.3611151
amefonaffia,Abasi-amefon Affia-Jomants,Estonia,,38,58.7523778,25.3319078
LelleDi,LélléD,Unknown,,38,,
kallewesterling,Kalle Westerling,"Madrid, Spain",Chainguard,37,40.416782,-3.703507
adswa,Adina Wagner,planet earth, @psychoinformatics-de,35,1.3165066,103.8625991
mcnanton,mcnanton,"Buenos Aires, Argentina",,35,-34.6095579,-58.3887904
Ismael-KG,,Unknown,London School of Economics & Political Science,35,,
RayStick,Rachael Stickland,Unknown,,34,,
jessyprovencher,Jessy Provencher,Unknown,,34,,
ClareLiggins,Clare Liggins,Manchester,The University of Manchester,34,53.4424618,-2.2324547
annakrystalli,Anna Krystalli,"Syros, Greece",@r-rse,33,37.4385101,24.9123772
alexmorley,Alexander Morley,"Oxford, UK",@babylonhealth ,33,51.7520131,-1.2578499
dingaaling,Jennifer Ding,London,,31,51.5074456,-0.1277653
rendell,Rendell de Kort,Aruba,Cornerstone Economics / Lovely Data,30,12.5013629,-69.9618475
mjg211,Michael J Grayling,Unknown,,28,,
cassgvp,Cassandra Gould van Praag,"Devon, UK",RCM Cooperative,27,50.7241405,-3.6607788
srishti-nema,Srishti Nema,"Bhilai, Chhattisgarh",@segmentio @twilio-internal,27,21.2120677,81.3732849
agarwalmanvi,,Unknown,,26,,
jspickering,Jade Pickering,"Manchester, UK",Bennett Institute for Applied Data Science,26,53.4794892,-2.2451148
inwaves,Andrei Alexandru,Unknown,,26,,
jezcope,Jez Cope,"North Yorkshire, United Kingdom",The British Library,26,54.1345328,-1.4986285
sandygudie,Goodnews Sandy,Nigeria,,25,9.6000359,7.9999721
marianaiv,Mariana V.,"Hamburg, Germany",,24,53.5501721,10.0013165
arya1302,Arya A,"Cheppad,Kerala",,24,9.2386096,76.4709765
NatalieZelenka,Natalie Zelenka,"Bristol, UK",ECMWF,24,51.4538022,-2.5972985
CeilidhWelsh,CeilidhWelsh,Unknown,,23,,
c-martinez,Carlos Martinez,Unknown,@NLeSC ,23,,
SaraVilla,Sara Villa,Unknown,OLS,22,,
trallard,Tania Allard,"Manchester, UK",@Quansight-Labs @Quansight ,22,53.4794892,-2.2451148
WinnyNekesa,WNekesa,Unknown,,21,,
fdiblen,,Unknown,Netherlands eScience Center & ReSoft Labs,21,,
dependabot[bot],,Unknown,,21,,
llewelld,David Llewellyn-Jones,"Cambridge, UK",The Alan Turing Institute,21,52.1975846,0.1391537
MariaEriksson,Maria Eriksson,"London, UK",@UCL @alan-turing-institute @WhitakerLab,21,51.5074456,-0.1277653
jyoti-bhogal,Jyoti Bhogal,Pune,RSE Asia Association | OLS (Open Life Science),20,18.5213738,73.8545071
AidaMehonic,Aida Mehonic,London,The Alan Turing Institute,20,51.5074456,-0.1277653
scjjb,Jack Breen,Unknown,,19,,
harisood,Hari Sood,Unknown,,19,,
nadiasoliman,,Unknown,,19,,
xchendatacite,,Unknown,,18,,
SusannaSansone,Susanna-Assunta Sansone,"Oxford, UK",University of Oxford,18,51.7520131,-1.2578499
SiccarPoint,Dan Hobley,Unknown,Cardiff University,18,,
SarahAlidoost,,"Amsterdam, The Netherlands",Netherlands eScience center,18,52.3730796,4.8924534
gigikenneth,Gigi🌻,"Warsaw, Poland",Asele,18,52.2333742,21.0711489
cecibaldoni,Cecilia Baldoni,"Konstanz, Germany",Max Planck Institute of Animal Behavior,18,47.659216,9.1750718
AlfAWolf140,Beth Montague-Hellen,Unknown,,18,,
mikey247,Michael Umeokoli,"Manchester, UK",@UoMResearchIT ,17,53.4794892,-2.2451148
pgadige,Pooja Gadige,India,,17,22.3511148,78.6677428
Lovkush-A,Lovkush,Unknown,,17,,
Sergih28,Sergi,Unknown,,16,,
Preshh0,Precious Onyewuchi,"Enugu, Nigeria.",,16,6.5536094,7.4143061
kkmann,Kevin Kunzmann,"Ingelheim, Germany",Boehringer-Ingelheim,16,49.9752749,8.0547274
RVFlowers,Sophie T,Unknown,,15,,
OliJimbo,Oli,Unknown,,15,,
tonyyzy,Tony Yang,Unknown,,15,,
nihedc,,Unknown,,14,,
GjjvdBurg,Gertjan van den Burg,Unknown,,14,,
LauraCarter,Laura Carter,Seattle,OLS,13,47.6038321,-122.330062
sboronghosh,Shankho Boron Ghosh,Unknown,,13,,
lottycoupat,,Unknown,,13,,
abelsiqueira,Abel Soares Siqueira,Amsterdam - The Netherlands,Netherlands eScience Center,13,52.3730796,4.8924534
BeastyBlacksmith,Simon Christ,Hannover,Leibniz Universität Hannover,13,52.3744779,9.7385532
varlottaang,Angelo Varlotta,Italy,,13,42.6384261,12.674297
JessicaS11,Jessica Scheick,Unknown,University of New Hampshire,12,,
sverhoeven,Stefan Verhoeven,Unknown,Netherlands eScience Center,12,,
RostiReadioff,Rosti Readioff,"Liverpool, Leeds",University of Leeds,12,53.3839852,-2.9890465
ninadicara,Nina,Unknown,University of Bristol,12,,
HeidiSeibold,Heidi Seibold,"Munich, Germany",Digital Research Academy,12,48.1371079,11.5753822
luisaforozco,Luisa Orozco,Amsterdam,TNO,11,52.3730796,4.8924534
GGn0,Luigi Scalzone,Unknown,,11,,
timothy22000,,"London, UK",,11,51.5074456,-0.1277653
Susana465,Susana Roman Garcia,Unknown,University of Edinburgh,11,,
aranas,Sophie Arana,"Oxford, United Kingdom",,11,51.7520131,-1.2578499
lukeconibear,Luke Conibear,UK,Tomorrow.io,11,54.7023545,-3.2765753
RaoOfPhysics,Achintya Rao,"Bristol, UK",COALESCE (UWE Bristol),11,51.4538022,-2.5972985
C-Lion,C-Lion,Unknown,Operation Code,10,,
erictleung,Eric Leung,"Brooklyn, NY",,10,40.6526006,-73.9497211
ahornos,Albert Hornos Vidal,Barcelona,@inab ,10,41.3825802,2.177073
nghuixin,Renee (Hui Xin) Ng,San Diego,UC San Diego,10,32.7174202,-117.162772
nathanbegbie,Nathan Begbie,Remote,turn.io,10,43.0059455,-123.8925908
iamleeg,Graham Lee,"Stratford-upon-Avon, UK",,10,52.1927803,-1.70634
TheAbstract,Siphiwe,[Redacted],[Redacted],10,38.9865122,-110.4115821
sdruskat,Stephan Druskat,Berlin,,10,52.5173885,13.3951309
camachoreina,Reina Camacho Toro,Unknown,,10,,
yaochengchen,,Unknown,,9,,
AndreaSanchezTapia,Andrea Sánchez-Tapia,Unknown,@GlobalFishingWatch,9,,
rjjgilham,,Unknown,,9,,
svenvanderburg,Sven van der Burg,Amsterdam,Netherlands eScience Center,9,52.3730796,4.8924534
reshamas,Reshama Shaikh,"New York, NY",@data-umbrella,9,40.7127281,-74.0060152
Remi-Gau,Remi Gau,"Montreal, Québec, Canada",Origami lab - McGill University,9,45.5031824,-73.5698065
jmgate,Jason M. Gates,"Albuquerque, NM",Sandia National Laboratories,9,35.0841034,-106.650985
Marta-MM,,"Leicester, UK",,8,52.6362,-1.1331969
perluna,Luna,London ,,8,51.5074456,-0.1277653
lucyjstephenson,Lucy Stephenson,Unknown,,8,,
kderuyck,Kim De Ruyck,"Ghent, Belgium",VIB / ELIXIR Belgium,8,51.0538286,3.7250121
likeajumprope,Johanna Bayer,Canada,McGill University,8,61.0666922,-107.991707
ikayz,Isaac Miti,"Lusaka, Zambia",The Fuse,8,-15.4163395,28.2818414
edwardchalstrey1,Ed Chalstrey,London (UK),,8,51.5074456,-0.1277653
