Name,Languages,"Translated (Words)","Target Words","Approved (Words)",Voted,"""+"" votes received","""-"" votes received","Winning (Words)",Joined
"Asma Kacem (asmakacem)",Arabic,35868,34632,66,0,3,0,470,"2022-04-05 13:15:39"
"Batool Almarzouq (batool664)","Arabic; Chinese Simplified; Spanish, Latin America; Portuguese, Brazilian; Japanese; French; German; Spanish; Turkish; Italian",18959,22364,4054,14,15,1,162,"2021-11-09 10:46:49"
cozenkaplan,Turkish,5914,5075,0,18,1,0,42,"2022-05-29 14:56:53"
"Mohamed Alaa Eddine Mejri (alaamejri)",Arabic,2645,2589,13,0,0,0,88,"2022-05-31 05:46:28"
node,"Chinese Simplified",2390,4079,0,5,0,0,0,"2023-05-28 22:34:49"
crangelsmith,"Spanish, Latin America; French",2305,2516,380,2,24,0,701,"2021-11-23 12:27:39"
acocac,"Spanish, Latin America",1427,1597,465,0,13,1,94,"2021-11-23 12:26:25"
Boutainaelatbaoui,Arabic,1239,1160,20,0,0,0,597,"2022-05-31 05:47:41"
"ثناء (Thana)",Arabic,1048,952,46,7,0,0,21,"2022-04-29 06:57:28"
berhankatipoglu,Turkish,990,984,0,3,3,0,0,"2022-06-08 12:16:36"
melibleq,"Portuguese, Brazilian; Arabic; Spanish, Latin America",979,1015,1019,0,0,0,941,"2023-04-17 14:14:53"
"Anna Zanchetta (ciupava)",Italian,939,984,907,0,0,0,920,"2023-04-25 13:39:40"
timothy22000,"Chinese Simplified",879,1411,0,1,1,0,0,"2022-05-16 14:39:29"
seunlijoka,Arabic,861,872,0,1,0,0,0,"2022-04-20 07:03:59"
"Muhammet Ali Kula (alikula314)",Turkish,813,676,27,2,19,1,32,"2022-05-31 03:52:11"
Muluh,Arabic,713,598,0,0,0,0,0,"2022-04-21 02:01:18"
"İsmail Kılıç (ismailkilic)",Turkish,633,542,0,0,0,0,0,"2022-06-07 15:46:08"
"Iman Al Hasani (ImanAlhasani)",Arabic,624,612,650,1,4,0,522,"2022-05-16 13:26:13"
"Anıl Tuncel (anilbey)","Turkish; Spanish, Latin America",537,465,72,4,5,1,15,"2022-05-23 11:22:45"
"Ceren YURTLU (cerenyurtlu)",Turkish,362,290,0,1,0,0,0,"2022-05-31 03:44:26"
"yasin güneş (yasin01ysn)",Turkish,269,214,0,0,0,0,0,"2022-06-07 01:04:00"
"Andrea Sánchez-Tapia (andreasancheztapia)","Portuguese, Brazilian; Spanish, Latin America",247,386,1887,0,2,0,76,"2021-11-09 12:53:02"
"Nancy Aswad (nancyalaswad90)",Arabic,228,257,2,1,0,0,84,"2022-05-31 05:47:40"
"Salma Abdelfattah (salmaabdelfatah77)",Arabic,225,219,0,0,1,0,12,"2022-04-20 07:03:50"
IssaAlrubaye,Arabic,177,168,54,0,1,0,18,"2022-05-31 05:47:41"
"Abdulrahman Alswaji (alswajiab)",Arabic,164,161,0,4,1,1,0,"2022-06-08 15:11:35"
"KHADIJAH WURAOLA AMUSAT (Khadeeejah)",Arabic,164,157,0,0,0,0,0,"2022-10-10 10:22:28"
iclal.cetin,Turkish,91,66,0,0,2,0,0,"2022-05-31 03:50:46"
niraito,Turkish,87,82,0,2,1,0,0,"2022-05-29 14:48:50"
merveaydin,Turkish,77,74,0,2,0,0,0,"2022-06-02 06:19:03"
"Gültekin Ünal (cinnetcrash)",Turkish,63,63,0,0,1,0,15,"2022-05-31 03:50:33"
"Burhan Simsek (burhansimsekbs)",Turkish,45,39,0,0,0,0,0,"2022-06-10 11:09:25"
"Kozo Nishida (kozo2)",Japanese,34,122,0,0,0,0,0,"2022-05-23 11:46:33"
danielumpierre,"Portuguese, Brazilian",30,30,0,0,0,0,0,"2022-08-30 12:42:08"
"Johan Bonneau (Zenigata)",French,25,31,1,0,0,0,1,"2022-10-25 12:17:50"
fatmaerdem,Turkish,16,9,24,3,0,0,0,"2022-05-31 05:47:41"
"Şükrücan Cebeci (sukrucncbc)",Turkish,11,10,0,0,0,0,0,"2022-05-25 11:54:39"
"João Vitor (jvfe)","Portuguese, Brazilian",1,1,0,0,0,0,0,"2023-04-17 14:48:16"
"Salma Shaik (salmasha333)",,0,0,0,0,0,0,0,"2022-05-31 05:47:41"
"Anne Lee Steele (aleesteele)",,0,0,0,0,0,0,0,"2022-05-31 03:43:29"
"Fatima Ibrahim (bintzahra97)",,0,0,0,0,0,0,0,"2022-05-31 05:47:41"
"Mohamed Abdelfatah (mohamedabdelfatah)",,0,0,0,0,0,0,0,"2022-05-31 05:47:41"
EsraaAbdelmaksoud,Arabic,0,0,0,1,0,0,0,"2022-05-31 03:44:59"
R.Ali,,0,0,0,0,0,0,0,"2022-04-20 07:03:39"
Daliyah,,0,0,0,0,0,0,0,"2022-04-29 13:54:38"
OSCSA,,0,0,0,0,0,0,0,"2022-04-30 10:26:17"
ozlem_sahin,,0,0,0,0,0,0,0,"2022-05-25 12:02:34"
"Pamela Villar González (pamela)",,0,0,0,0,0,0,0,"2022-06-07 11:29:01"
Elja,,0,0,0,0,0,0,0,"2022-06-07 11:31:44"
"Abdulrahman Dallak (Dallak)",,0,0,0,0,0,0,0,"2022-06-14 12:00:18"
"Richie Moluno (molunorichie)",,0,0,0,0,0,0,0,"2023-06-01 11:58:34"
"goodnews sandy (goodnewssandy)",,0,0,0,0,0,0,0,"2023-06-01 12:00:28"
